Project Name,Name and Location,Latitude,Longitude,Project Type,Borough,Opening Date,Year,Image link,Body Text
East River Houses,"East River Houses,Manhattan, NYC",-73.940276,40.7884708,Housing,Manhattan,,1954,https://static01.nyt.com/images/2015/10/23/nyregion/NEIGHBORHOOD/NEIGHBORHOOD-master768.jpg,East River Houses  East River HousesEast River HousesEast River HousesEast River HousesEast River Houses
Lennox Terrace,"Lennox Terrace,Manhattan, NYC",-73.9411785,40.8135095,Housing,Manhattan,,1957,http://cdn-img1.streeteasy.com/nyc/image/9/129931309.jpg,Lennox Terrace  Lennox TerraceLennox TerraceLennox TerraceLennox Terrace
Delano Village,"Delano Village,Manhattan, NYC",-73.9372221,40.8166667,Housing,Manhattan,,1956,https://static01.nyt.com/images/2011/06/10/nyregion/BUILDINGS3/BUILDINGS3-jumbo.jpg,Delano Village  Delano VillageDelano VillageDelano VillageDelano VillageDelano VillageDelano Village
Morningside Gardens,"Morningside Gardens,Manhattan, NYC",-73.959364,40.806108,Housing,Manhattan,,1955,http://cdn-img0.streeteasy.com/nyc/image/56/48572456.jpg,Morningside Gardens  Morningside GardensMorningside GardensMorningside GardensMorningside GardensMorningside Gardens
Park West Village,"Park West Village,Manhattan, NYC",-73.9677024,40.7950421,Housing,Manhattan,,1957,http://cdn-img1.streeteasy.com/nyc/image/29/116858329.jpg,Park West Village   Park West VillagePark West VillagePark West VillagePark West VillagePark West VillagePark West Village
Coliseum Park Apartments,"Coliseum Park Apartments,Manhattan, NYC",-73.9845013,40.7687451,Housing,Manhattan,,1956,http://cdn-img3.streeteasy.com/nyc/image/79/30026079.jpg,Coliseum Park Apartments   Coliseum Park ApartmentsColiseum Park ApartmentsColiseum Park ApartmentsColiseum Park ApartmentsColiseum Park Apartments
Kingsview,"Kingsview,Brooklyn, NYC",-73.9787795,40.6927898,Housing,Brooklyn,,1955,http://cdn-img2.streeteasy.com/nyc/image/90/165618990.jpg,Kingsview   KingsviewKingsviewKingsviewKingsviewKingsviewKingsview
University Terrace,"University Terrace,Brooklyn, NYC",-73.9814937,40.6911208,Housing,Brooklyn,,1957,https://www.youniversitytv.com/wp-content/uploads/2014/10/Long-Island-University-Brooklyn-Campus-1024x673.jpg,University Terrace    University TerraceUniversity TerraceUniversity TerraceUniversity TerraceUniversity TerraceUniversity TerraceUniversity TerraceUniversity Terrace
Kips Bay Plaza,"Kibs Bay Plaza,Manhattan, NYC",-73.9757944,40.7432283,Housing,Manhattan,,1957,https://upload.wikimedia.org/wikipedia/commons/c/ce/Kips_Bay_Plaza_South_Building.jpg,Kips Bay Plaza  Kips Bay PlazaKips Bay PlazaKips Bay PlazaKips Bay PlazaKips Bay Plaza
Willoughby Walk,"Willoughby Walk,Brooklyn, NYC",-73.9653256,40.6923118,Housing,Brooklyn,,1957,http://cdn-img3.streeteasy.com/nyc/image/7/62917607.jpg,Willoughby Walk   Willoughby WalkWilloughby WalkWilloughby WalkWilloughby WalkWilloughby Walk
