Project Name,Name and Location,Latitude,Longitude,Project Type,Borough,Opening Date,Year,Image link,Body Text
Triborough Bridge Approach,"Manhattan Loop,Manhattan, NYC",-73.926702,40.789625,Road,Manhattan,,1936,http://www.nycroads.com/crossings/triborough/img22.gif,Triborough Bridge Approach  Triborough Bridge ApproachTriborough Bridge ApproachTriborough Bridge ApproachTriborough Bridge ApproachTriborough Bridge Approach
Cross-Bronx Expressway,"Cross-Bronx Expressway,Bronx, NYC",-73.859857,40.832984,Road,Bronx,,1948,https://68.media.tumblr.com/a9f6fda3fecd4076593c5c2c166d5994/tumblr_nufaddwu9s1ug5bvuo1_1280.jpg,Cross-Bronx Expressway Cross-Bronx ExpresswayCross-Bronx ExpresswayCross-Bronx ExpresswayCross-Bronx Expressway
Grand Central Parkway,"Grand Central Parkway,Bronx, NYC",-73.839484,40.728829,Road,Bronx,,1933,https://i.ytimg.com/vi/PmHCEt08q4g/maxresdefault.jpg,Grand Central Parkway Grand Central ParkwayGrand Central ParkwayGrand Central ParkwayGrand Central Parkway
Brooklyn-Queens Expressway,"Brooklyn-Queens Expressway,Brooklyn / Queens, NYC",-73.996258,40.699825,Road,Brooklyn / Queens,,1950,https://static01.nyt.com/images/2012/01/05/nyregion/BQE1/BQE1-jumbo-v2.jpg,Brooklyn-Queens Expressway Brooklyn-Queens ExpresswayBrooklyn-Queens ExpresswayBrooklyn-Queens Expressway
Belt Parkway,"Belt Parkway,Brooklyn / Queens, NYC",-73.880336,40.635635,Road,Brooklyn / Queens,,1934,https://i.ytimg.com/vi/udjr6ZCqw98/maxresdefault.jpg,Belt Parkway Belt ParkwayBelt ParkwayBelt ParkwayBelt ParkwayBelt Parkway
Richmond Parkway,"Richmond Parkway,Staten Isalnd, NYC",-74.196049,40.535113,Road,Staten Isalnd,,1962,https://upload.wikimedia.org/wikipedia/en/3/33/Richmond_Pkwy.jpg,Richmond Parkway  Richmond ParkwayRichmond ParkwayRichmond ParkwayRichmond ParkwayRichmond Parkway
Willowbrook Parkway,"Willowbrook Parkway,Staten Isalnd, NYC",-74.130603,40.583571,Road,Staten Isalnd,,1962,http://www.aaroads.com/northeast/new_york278/i-278_wb_exit_010_01.jpg,Willowbrook Parkway  Willowbrook ParkwayWillowbrook ParkwayWillowbrook ParkwayWillowbrook Parkway
Brooklyn-Battery Tunnel,"Brooklyn-Battery Tunnel,Brooklyn / Manhattan, NYC",-74.009856,40.689278,Road,Brooklyn / Manhattan,5/15/1950,1959,https://upload.wikimedia.org/wikipedia/commons/1/11/Brooklyn%E2%80%93Battery_Tunnel_002.JPG,Brooklyn-Battery Tunnel   Brooklyn-Battery TunnelBrooklyn-Battery TunnelBrooklyn-Battery TunnelBrooklyn-Battery TunnelBrooklyn-Battery Tunnel
Verrazano-Narrows Bridge,"Verrazano-Narrows Bridge,Brooklyn / Staten Island, NYC",-74.04466,40.606616,Road,Brooklyn / Staten Island,11/21/1964,1964,http://www.5dguide.com/wp-content/uploads/2015/11/verrazano-1.jpg,Verrazano-Narrows Bridge Verrazano-Narrows BridgeVerrazano-Narrows BridgeVerrazano-Narrows BridgeVerrazano-Narrows Bridge
Southern State Parkway,"Southern State Parkway, NYC",-73.467731,40.705954,Road,,,1927,https://upload.wikimedia.org/wikipedia/commons/b/b1/Southern_State_Parkway_at_41N.jpg,"Southern State Parkway, NYC"
Wantagh State Parkway,"Wantagh State Parkway, NYC",-73.5649922,40.7703409,Road,,,1929,https://c1.staticflickr.com/6/5081/5336842729_fe4c04b1e0_b.jpg,"Wantagh State Parkway, NYC"
Northern State Parkway,"Northern State Parkway, NYC",-73.7136524,40.759734,Road,,,1931,https://upload.wikimedia.org/wikipedia/commons/8/84/Northern_State_Parkway_Exit_38.jpg,"Northern State Parkway, NYC"
Meadowbrook State Parkway,"Meadowbrook State Parkway, NYC",-73.571627,40.675404,Road,,,1932,https://upload.wikimedia.org/wikipedia/commons/7/7c/Meadowbrook_State_Parkway_at_Southern_State_Parkway_west.jpg,"Meadowbrook State Parkway, NYC"
Interborough Parkway,"Interborough Parkway, NYC",-73.8595162,40.7024457,Road,,,1936,http://forgotten-ny.com/wp-content/uploads/2016/08/P1220865.jpg,"Interborough Parkway, NYC"
Henry Hudson Parkway,"Henry Hudson Parkway, NYC",-73.9449596,40.8439336,Road,,,1938,http://www.eastcoastroads.com/states/ny/nypark/henry/front.jpg,"Henry Hudson Parkway, NYC"
Laurelton Parkway,"Laurelton Parkway, NYC",-73.8803359,40.6356355,Road,,,1940,http://www.eastcoastroads.com/states/ny/nypark/belt/fullsize/blpe01_2.jpg,"Laurelton Parkway, NYC"
Cross Island Parkway,"Cross Island Parkway, NYC",-73.78986,40.7880922,Road,,,1940,http://cdn.newsday.com/polopoly_fs/1.10801064.1441212204!/httpImage/image.jpg_gen/derivatives/landscape_1280/image.jpg,"Cross Island Parkway, NYC"
Gowanus Parkway,"Gowanus Parkway, NYC",-74.0186186,40.6435805,Road,,,1941,http://www.aaroads.com/northeast/new_york278/i-278_wb_exit_024_05.jpg,"Gowanus Parkway, NYC"
Heckscher State Parkway,"Heckscher State Parkway, NYC",-73.1660222,40.7114392,Road,,,1959,https://i.ytimg.com/vi/WmWgIf0EyfA/maxresdefault.jpg,"Heckscher State Parkway, NYC"
Ocean Parkway,"Ocean Parkway, NYC",-73.9688702,40.6142588,Road,,,1950,http://www.nycbikemaps.com/wp-content/uploads/2008/03/dscf0045.jpg,"Ocean Parkway, NYC"
Bethpage State Parkway,"Bethpage State Parkway, NYC",-73.456324,40.7456719,Road,,,1936,https://upload.wikimedia.org/wikipedia/commons/b/b1/Bethpage_State_Parkway_-_Exit_B1.jpg,"Bethpage State Parkway, NYC"
Cross County Parkway,"Cross County Parkway, NYC",-73.8437521,40.9288798,Road,,,1929,http://www.aaroads.com/northeast/new_york087/i-087_nyt_nb_exit_004_02.jpg,"Cross County Parkway, NYC"
Mosholu Parkway,"Mosholu Parkway, NYC",-73.8869527,40.885055,Road,,,1937,http://www.aaroads.com/northeast/new_york087/i-087_nb_exit_012_01.jpg,"Mosholu Parkway, NYC"
Saw Mill River Parkway,"Saw Mill River Parkway, NYC",-73.8881835,40.9031065,Road,,,1935,https://c1.staticflickr.com/6/5013/5407517744_a66f3357db_b.jpg,"Saw Mill River Parkway, NYC"
Sprain Parkway,"Sprain Parkway, NYC",-73.823745,41.0189206,Road,,,1963,https://upload.wikimedia.org/wikipedia/commons/2/2a/Sprain_Brook_Parkway_SB_north_of_Tuckahoe_Road.jpg,"Sprain Parkway, NYC"
Bronx River Parkway,"Bronx River Parkway, NYC",-73.8717641,40.8618032,Road,,,1925,https://www.nynjtc.org/sites/default/files/styles/hike_park_destination_page/public/park/DSC_0803.JPG?itok=1a8nhExd,"Bronx River Parkway, NYC"
Hutchinson River Parkway,"Hutchinson River Parkway, NYC",-73.8361016,40.850689,Road,,,1941,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/The_Hutch_at_Exit_26W.jpg/1024px-The_Hutch_at_Exit_26W.jpg,"Hutchinson River Parkway, NYC"
Shore Front Parkway,"Shore Front Parkway, NYC",-73.8153617,40.5837859,Road,,,1939,http://forgotten-ny.com/wp-content/uploads/2017/02/shorefront.pkwy_.jpg,"Shore Front Parkway, NYC"
Robert Moses Causeway,"Robert Moses Causeway, NYC",-73.2776915,40.6821432,Road,,,1967,http://pics4.city-data.com/cpicc/cfiles21610.jpg,"Robert Moses Causeway, NYC"
Sagtikos State Parkway,"Sagtikos State Parkway, NYC",-73.2799687,40.780864,Road,,,1952,https://upload.wikimedia.org/wikipedia/commons/f/fe/Sagtikos_State_Parkway_-_S3.jpg,"Sagtikos State Parkway, NYC"
Sunken Meadow State Parkway,"Sunken Meadow State Parkway, NYC",-73.2771644,40.8646763,Road,,,1957,http://mediad.publicbroadcasting.net/p/wshu/files/styles/medium/public/201611/sunkenmeadowparkway_flickrdougkerr_161117.jpg,"Sunken Meadow State Parkway, NYC"
Marine Parkway,"Marine Parkway, NYC",-73.9411658,40.6118147,Road,,,1937,http://cdn.newsday.com/polopoly_fs/1.10446796.1463502571!/httpImage/image.jpg_gen/derivatives/display_1004/image.jpg,"Marine Parkway, NYC"
Bruckner Expressway,"Bruckner Expressway, NYC",-73.8713595,40.8246079,Road,,,1957,http://www.aaroads.com/northeast/new_york095/i-095_sb_exit_007_03.jpg,"Bruckner Expressway, NYC"
Major Deegan Expressway,"Major Deegan Expressway, NYC",-73.9175391,40.8565198,Road,,,1956,http://www.aaroads.com/northeast/new_york087/i-087_nb_exit_002_03.jpg,"Major Deegan Expressway, NYC"
Sheridan Expressway,"Sheridan Expressway, NYC",-73.8892608,40.8207764,Road,,,1963,https://static01.nyt.com/images/2017/03/23/nyregion/23SHERIDAN1/22SHERIDAN1-master768.jpg,"Sheridan Expressway, NYC"
Van Wyck Expressway,"Van Wyck Expressway, NYC",-73.836464,40.735104,Road,,,1963,http://www.aaroads.com/northeast/new_york600/i-678_nb_exit_000_05.jpg,"Van Wyck Expressway, NYC"
Long Island Expressway,"Long Island Expressway, NYC",-73.8365679,40.7434829,Road,,,1955,http://www.aaroads.com/northeast/new_york495/i-495_eb_exit_033_03.jpg,"Long Island Expressway, NYC"
Prospect Expressway,"Prospect Expressway, NYC",-73.9851143,40.6585394,Road,,,1962,https://untappedcities-wpengine.netdna-ssl.com/wp-content/uploads/2016/04/pocket_park-prospect_expressway-robert_moses-park_slope-south_slope-brooklyn-new_york_city-untapped_cities-alexander_mcquilkin.jpg,"Prospect Expressway, NYC"
Gowanus Expressway,"Gowanus Expressway, NYC",-74.0186186,40.6435805,Road,,,1964,http://www.aaroads.com/northeast/new_york278/i-278_wb_exit_024_06.jpg,"Gowanus Expressway, NYC"
Whitestone Expressway,"Whitestone Expressway, NYC",-73.8272957,40.7781091,Road,,,1963,http://www.aaroads.com/northeast/new_york600/i-678_sb_exit_013_01.jpg,"Whitestone Expressway, NYC"
Clearview Expressway,"Clearview Expressway, NYC",-73.8374817,40.8285079,Road,,,1963,https://www.interstate-guide.com/images295/i-295_ny_st_11.jpg,"Clearview Expressway, NYC"
Throgs-Neck Expressway,"Throgs-Neck Expressway, NYC",-73.8148414,40.821402,Road,,,1970,https://www.interstate-guide.com/images295/i-295_ny_nt_08.jpg,"Throgs-Neck Expressway, NYC"
Staten Island Expressway,"Staten Island Expressway, NYC",-74.1204293,40.610219,Road,,,1964,http://www.aaroads.com/northeast/new_york400/ny-440_nb_exit_010_02.jpg,"Staten Island Expressway, NYC"
Nassau Expressway,"Nassau Expressway, NYC",-73.7769728,40.6607023,Road,,,1965,https://www.interstate-guide.com/images878/i-878_ny_wt_04.jpg,"Nassau Expressway, NYC"
New England Throughway,"New England Throughway, NYC",-73.8328531,40.8690404,Road,,,1958,https://c1.staticflickr.com/4/3861/14839432530_a220438794_b.jpg,"New England Throughway, NYC"
Rockaway Freeway,"Rockaway Freeway, NYC",-73.7945279,40.5913629,Road,,,1950,http://www.alpsroads.net/roads/ny/rock_fwy/102n.jpg,"Rockaway Freeway, NYC"
Cross Bay Boulevard,"Cross Bay Boulevard, NYC",-73.8296743,40.633973,Road,,,1923,http://static.panoramio.com/photos/original/87974642.jpg,"Cross Bay Boulevard, NYC"
Conduit Boulevard,"Conduit Boulevard, NYC",-73.8673976,40.6766929,Road,,,1929,http://www.aaroads.com/northeast/new_york020/ny-027_eb_at_conduit_av.jpg,"Conduit Boulevard, NYC"
Atlantic Avenue,"Atlantic Avenue, NYC",-74.0062906,40.5740939,Road,,,1954,http://www.streetsblog.org/wp-content/uploads/2014/04/Screen-shot-2014-04-18-at-2.25.53-PM.png,"Atlantic Avenue, NYC"
Harlem River Drive,"Harlem River Drive, NYC",-73.9346827,40.8280552,Road,,,1964,http://coloradoguy.com/new-york-city/harlem-river-drive.jpg,"Harlem River Drive, NYC"
East River Drive Extension,"East River Drive Extension, NYC",-73.9526114,40.766373,Road,,,1955,https://s-media-cache-ak0.pinimg.com/736x/8d/a8/27/8da82743a877c63056a074aec6064504.jpg,"East River Drive Extension, NYC"
Queens-Midtown Tunnel,"Queens-Midtown Tunnel, NYC",-73.9617848,40.7437252,Road,,,1940,http://cdn.newsday.com/polopoly_fs/1.12249303.1472678702!/httpImage/image.jpeg_gen/derivatives/landscape_1280/image.jpeg,"Queens-Midtown Tunnel, NYC"
Battery Park Underpass,"Battery Park Underpass, NYC",-74.0165113,40.7040775,Road,,,1951,https://farm9.staticflickr.com/8347/8170432006_1580298977_b.jpg,"Battery Park Underpass, NYC"
P.S. 199,"P.S. 199,Manhattan, NYC",-73.9847026,40.7779517,School,Manhattan,,1963,http://www.docomomo-nytri.org/wp-content/gallery/ps-199-images-april-2013/ps-199_img_3160.jpg,P.S. 199   P.S. 199P.S. 199P.S. 199P.S. 199P.S. 199P.S. 199P.S. 199P.S. 199P.S. 199P.S. 199P.S. 199P.S. 199P.S. 199P.S. 199P.S. 199P.S. 199P.S. 199P.S. 199P.S. 199
Weaver Hall (NYU),"Weaver Happ (NYU),Manhattan, NYC",-73.9956477,40.7286882,University,Manhattan,,1966,http://upload.wikimedia.org/wikipedia/commons/9/92/WarrenWeaverHall.JPG,Weaver Hall (NYU) Weaver Hall (NYU)Weaver Hall (NYU)Weaver Hall (NYU)Weaver Hall (NYU)
Tisch Hall (NYU),"Tisch Hall (NYU),Manhattan, NYC",-73.9961755,40.728825,University,Manhattan,,1966,http://photos.wikimapia.org/p/00/03/07/85/13_full.jpg,Tisch Hall (NYU)  Tisch Hall (NYU)Tisch Hall (NYU)Tisch Hall (NYU)Tisch Hall (NYU)Tisch Hall (NYU)
Bobst Library (NYU),"Bobst Library (NYU),Manhattan, NYC",-73.997213,40.7294242,University,Manhattan,,1966,https://s-media-cache-ak0.pinimg.com/736x/26/a5/cb/26a5cb8819ae0dc15f1a883eb4ed882d.jpg,Bobst Library (NYU) Bobst Library (NYU)Bobst Library (NYU)Bobst Library (NYU)Bobst Library (NYU)Bobst Library (NYU)
LIU Dormitory,"LIU Dormitory,Brooklyn, NYC",-73.9807991,40.6911479,University,Brooklyn,,1958,https://midcenturymundane.files.wordpress.com/2011/10/img_2324.jpg,LIU Dormitory   LIU DormitoryLIU DormitoryLIU DormitoryLIU DormitoryLIU DormitoryLIU DormitoryLIU DormitoryLIU Dormitory
Pratt Dormitories,"Pratt Dormitories,Brooklyn, NYC",-73.962537,40.6912807,University,Brooklyn,,1954,http://assets.nydailynews.com/polopoly_fs/1.1976305.1413466874!/img/httpImage/image.jpg_gen/derivatives/article_750/pratt16n-1-web.jpg,Pratt Dormitories   Pratt DormitoriesPratt DormitoriesPratt DormitoriesPratt DormitoriesPratt Dormitories
